date,lat,lon,pointid,NumCycles,Greenup_1,Greenup_2,MidGreenup_1,MidGreenup_2,Peak_1,Peak_2,Maturity_1,Maturity_2,Senescence_1,Senescence_2,MidGreendown_1,MidGreendown_2,Dormancy_1,Dormancy_2,EVI_Minimum_1,EVI_Minimum_2,EVI_Amplitude_1,EVI_Amplitude_2,EVI_Area_1,EVI_Area_2,QA_Overall_1,QA_Overall_2,QA_Detailed_1,QA_Detailed_2
2001-01-01,-78.139494,38.89292526245117,SCBI,1,11419,,11440,,11521,,11471,,11558,,11613,,11638,,1438,,5319,,434,,0,,0,
2002-01-01,-78.139494,38.89292526245117,SCBI,1,11784,,11807,,11863,,11835,,11910,,11981,,12009,,1405,,5666,,330,,0,,0,
2003-01-01,-78.139494,38.89292526245117,SCBI,1,12152,,12174,,12230,,12199,,12281,,12338,,12361,,1436,,5354,,310,,0,,0,
2004-01-01,-78.139494,38.89292526245117,SCBI,1,12518,,12536,,12584,,12560,,12617,,12707,,12731,,1522,,5698,,281,,0,,0,
2005-01-01,-78.139494,38.89292526245117,SCBI,1,12887,,12906,,12951,,12930,,12995,,13081,,13108,,1477,,5621,,266,,0,,0,
2006-01-01,-78.139494,38.89292526245117,SCBI,1,13240,,13266,,13311,,13290,,13349,,13437,,13464,,1200,,6107,,324,,0,,0,
2007-01-01,-78.139494,38.89292526245117,SCBI,1,13620,,13638,,13689,,13663,,13726,,13815,,13842,,1491,,5869,,306,,0,,0,
2008-01-01,-78.139494,38.89292526245117,SCBI,1,13982,,14001,,14056,,14027,,14110,,14172,,14198,,1562,,5487,,312,,0,,0,
2009-01-01,-78.139494,38.89292526245117,SCBI,1,14352,,14370,,14417,,14392,,14459,,14531,,14555,,1529,,5564,,274,,0,,0,
2010-01-01,-78.139494,38.89292526245117,SCBI,1,14697,,14717,,14776,,14749,,14819,,14900,,14929,,1351,,5757,,343,,0,,0,
2011-01-01,-78.139494,38.89292526245117,SCBI,1,15075,,15093,,15140,,15115,,15182,,15261,,15287,,1526,,5472,,273,,0,,0,
2012-01-01,-78.139494,38.89292526245117,SCBI,1,15426,,15450,,15502,,15477,,15553,,15622,,15646,,1474,,5159,,284,,0,,0,
2013-01-01,-78.139494,38.89292526245117,SCBI,1,15808,,15829,,15884,,15855,,15918,,15986,,16016,,1430,,5931,,345,,0,,0,
2014-01-01,-78.139494,38.89292526245117,SCBI,1,16180,,16198,,16247,,16221,,16290,,16357,,16384,,1589,,5750,,292,,0,,0,
2015-01-01,-78.139494,38.89292526245117,SCBI,1,16537,,16556,,16597,,16577,,16640,,16720,,16745,,1503,,5711,,254,,0,,0,
2016-01-01,-78.139494,38.89292526245117,SCBI,1,16906,,16926,,16979,,16951,,17022,,17093,,17123,,1491,,5684,,322,,0,,0,
2017-01-01,-78.139494,38.89292526245117,SCBI,1,17260,,17281,,17336,,17310,,17374,,17454,,17485,,1392,,5722,,336,,0,,0,
2018-01-01,-78.139494,38.89292526245117,SCBI,1,17640,,17657,,17699,,17678,,17736,,17807,,17843,,1475,,5356,,229,,0,,0,
2001-01-01,-72.17265319824219,42.53691101074219,HARV,1,11435,,11455,,11505,,11481,,11538,,11603,,11629,,2364,,4408,,222,,0,,0,
2002-01-01,-72.17265319824219,42.53691101074219,HARV,1,11808,,11831,,11880,,11858,,11912,,11982,,12023,,2548,,4071,,209,,0,,0,
2003-01-01,-72.17265319824219,42.53691101074219,HARV,1,12097,,12195,,12240,,12221,,12265,,12332,,12354,,1747,,5054,,315,,0,,3,
2004-01-01,-72.17265319824219,42.53691101074219,HARV,1,12536,,12552,,12594,,12573,,12636,,12701,,12727,,2635,,4044,,182,,0,,0,
2005-01-01,-72.17265319824219,42.53691101074219,HARV,1,12905,,12926,,12967,,12948,,13001,,13063,,13090,,2500,,4453,,227,,1,,0,
2006-01-01,-72.17265319824219,42.53691101074219,HARV,1,13267,,13288,,13328,,13311,,13357,,13423,,13450,,2547,,4132,,185,,0,,0,
2007-01-01,-72.17265319824219,42.53691101074219,HARV,1,13629,,13652,,13693,,13675,,13724,,13796,,13835,,2342,,4659,,225,,0,,0,
2008-01-01,-72.17265319824219,42.53691101074219,HARV,1,13980,,14015,,14060,,14039,,14093,,14162,,14200,,1885,,4999,,268,,0,,0,
2009-01-01,-72.17265319824219,42.53691101074219,HARV,1,14342,,14372,,14433,,14398,,14475,,14526,,14547,,2051,,4211,,285,,0,,0,
2010-01-01,-72.17265319824219,42.53691101074219,HARV,1,14721,,14739,,14788,,14769,,14817,,14886,,14909,,2629,,4352,,209,,0,,0,
2011-01-01,-72.17265319824219,42.53691101074219,HARV,1,15094,,15112,,15155,,15134,,15196,,15251,,15282,,2639,,4015,,179,,0,,0,
2012-01-01,-72.17265319824219,42.53691101074219,HARV,1,15448,,15471,,15515,,15494,,15560,,15612,,15639,,2414,,4395,,230,,0,,0,
2013-01-01,-72.17265319824219,42.53691101074219,HARV,1,15822,,15841,,15885,,15864,,15914,,15981,,16005,,2505,,3836,,187,,0,,0,
2014-01-01,-72.17265319824219,42.53691101074219,HARV,1,16190,,16213,,16250,,16233,,16286,,16352,,16377,,2426,,4573,,192,,0,,0,
2015-01-01,-72.17265319824219,42.53691101074219,HARV,1,16544,,16568,,16619,,16594,,16657,,16722,,16747,,2292,,4471,,239,,0,,0,
2016-01-01,-72.17265319824219,42.53691101074219,HARV,1,16923,,16943,,16979,,16963,,17027,,17088,,17116,,2424,,4400,,190,,0,,0,
2017-01-01,-72.17265319824219,42.53691101074219,HARV,1,17280,,17310,,17357,,17338,,17379,,17443,,17477,,2359,,4590,,245,,0,,0,
2018-01-01,-72.17265319824219,42.53691101074219,HARV,1,17650,,17669,,17713,,17689,,17751,,17810,,17847,,2274,,4673,,254,,0,,0,
