"Year","site_sp","ring_width","Location","Latitude","Longitude"
1784,"SCBI_QUPR",1.083,"SCBI","38.8935","-78.1454"
1785,"SCBI_QUPR",0.768,"SCBI","38.8935","-78.1454"
1786,"SCBI_QUPR",1.068,"SCBI","38.8935","-78.1454"
1787,"SCBI_QUPR",1.078,"SCBI","38.8935","-78.1454"
1788,"SCBI_QUPR",1.129,"SCBI","38.8935","-78.1454"
1789,"SCBI_QUPR",0.95,"SCBI","38.8935","-78.1454"
1790,"SCBI_QUPR",1.038,"SCBI","38.8935","-78.1454"
1791,"SCBI_QUPR",0.885,"SCBI","38.8935","-78.1454"
1792,"SCBI_QUAL",0.977,"SCBI","38.8935","-78.1454"
1792,"SCBI_QUPR",0.998,"SCBI","38.8935","-78.1454"
1793,"SCBI_QUAL",1.053,"SCBI","38.8935","-78.1454"
1793,"SCBI_QUPR",1.071,"SCBI","38.8935","-78.1454"
1794,"SCBI_QUAL",0.863,"SCBI","38.8935","-78.1454"
1794,"SCBI_QUPR",1.196,"SCBI","38.8935","-78.1454"
1795,"SCBI_QUAL",0.98,"SCBI","38.8935","-78.1454"
1795,"SCBI_QUPR",1.011,"SCBI","38.8935","-78.1454"
1796,"SCBI_QUAL",1.069,"SCBI","38.8935","-78.1454"
1796,"SCBI_QUPR",0.682,"SCBI","38.8935","-78.1454"
1797,"SCBI_QUAL",1.17,"SCBI","38.8935","-78.1454"
1797,"SCBI_QUPR",0.797,"SCBI","38.8935","-78.1454"
1798,"SCBI_QUAL",1.068,"SCBI","38.8935","-78.1454"
1798,"SCBI_QUPR",1.183,"SCBI","38.8935","-78.1454"
1799,"SCBI_QUAL",1.096,"SCBI","38.8935","-78.1454"
1799,"SCBI_QUPR",1.01,"SCBI","38.8935","-78.1454"
1800,"SCBI_QUAL",1.192,"SCBI","38.8935","-78.1454"
1800,"SCBI_QUPR",0.958,"SCBI","38.8935","-78.1454"
1801,"SCBI_QUAL",1.016,"SCBI","38.8935","-78.1454"
1801,"SCBI_QUPR",0.796,"SCBI","38.8935","-78.1454"
1802,"SCBI_QUAL",0.927,"SCBI","38.8935","-78.1454"
1802,"SCBI_QUPR",0.734,"SCBI","38.8935","-78.1454"
1803,"SCBI_QUAL",0.999,"SCBI","38.8935","-78.1454"
1803,"SCBI_QUPR",1.107,"SCBI","38.8935","-78.1454"
1804,"SCBI_QUAL",0.977,"SCBI","38.8935","-78.1454"
1804,"SCBI_QUPR",0.85,"SCBI","38.8935","-78.1454"
1805,"SCBI_QUAL",0.824,"SCBI","38.8935","-78.1454"
1805,"SCBI_QUPR",1.01,"SCBI","38.8935","-78.1454"
1806,"SCBI_QUAL",1.016,"SCBI","38.8935","-78.1454"
1806,"SCBI_QUPR",0.981,"SCBI","38.8935","-78.1454"
1807,"SCBI_QUAL",1.29,"SCBI","38.8935","-78.1454"
1807,"SCBI_QUPR",0.904,"SCBI","38.8935","-78.1454"
1808,"SCBI_QUAL",0.862,"SCBI","38.8935","-78.1454"
1808,"SCBI_QUPR",1.062,"SCBI","38.8935","-78.1454"
1809,"SCBI_QUAL",0.953,"SCBI","38.8935","-78.1454"
1809,"SCBI_QUPR",0.824,"SCBI","38.8935","-78.1454"
1810,"SCBI_QUAL",0.885,"SCBI","38.8935","-78.1454"
1810,"SCBI_QUPR",1.068,"SCBI","38.8935","-78.1454"
1811,"SCBI_QUAL",0.959,"SCBI","38.8935","-78.1454"
