tag,year,L,K,doy_ip,r,theta,a,b,ML_value,tag_year
192244,2011,42.28573488,42.50304473,219.1180079,0.03268247,4.856708592,42.3,42.49826867,-31.6898,1922442011
192244,2012,42.46167576,42.8964616,188.1666148,0.035419157,4.327506584,42.49712995,42.89550234,-24.7864,1922442012
192244,2013,42.86863009,43.2360147,194.6739681,0.046917003,5.050682952,42.88237803,43.23112175,-21.7365,1922442013
192244,2014,44.25267486,44.75760778,197.3764294,0.025312902,4.245623361,44.35470948,44.74268296,-19.144,1922442014
192244,2015,44.73924208,45.00235732,139.0976463,0.106554668,4.07000373,44.74367719,44.99844508,-17.8388,1922442015
80628,2011,53.266057,53.40587582,112.5952962,0.023189326,0.510694389,53.28,53.40474589,-31.5899,806282011
80628,2013,53.54172112,53.67347338,188.8154892,0.071720024,18.67799262,53.54311202,53.67347127,-22.1144,806282013
80628,2014,54.43080924,54.5447681,190.9298223,0.045543416,4.929009201,54.44061563,54.54460739,-19.2159,806282014
80628,2016,54.40488166,54.79543921,173.5239563,0.024784559,16.7649851,54.68237937,54.7944017,-20.6928,806282016
80628,2017,54.57292077,54.93287549,185.2693639,0.029292205,17.56555218,54.8055377,54.93247999,-15.1736,806282017
80628,2018,54.93597656,55.05955447,161.5886356,0.075252686,7.35026297,54.94224191,55.05561066,-19.0756,806282018
80628,2019,55.04631239,55.1764116,170.4402008,0.034514573,2.238749253,55.06821677,55.17554557,-20.5268,806282019
132539,2011,58.27061193,58.68566867,151.1536121,0.092476619,1.109779721,58.30028404,58.68566866,-30.907,1325392011
132539,2012,58.55045198,59.26454689,229.0841375,0.029812718,6.880063051,58.63158062,59.25951633,-23.4953,1325392012
132539,2013,59.16630892,59.44071014,140.6570272,0.109455733,0.097403451,59.16768495,59.44071008,-21.9942,1325392013
132539,2014,60.45144933,60.88783328,193.1743631,0.057775747,2.565574126,60.45372754,60.88747856,-19.2083,1325392014
132539,2015,60.88278939,61.3275003,190.3504259,0.108491303,10.10057302,60.88338296,61.32750014,-17.5418,1325392015
132539,2016,61.33879502,61.6474816,174.8785469,0.080351969,1.056590513,61.33937051,61.64532866,-20.4098,1325392016
132539,2017,61.62341465,62.14593805,166.1025206,0.202794144,22.08872723,61.62650448,62.12999059,-14.8848,1325392017
132539,2018,62.07517728,62.49983634,146.189268,0.090980238,0.098005832,62.08222328,62.49983512,-18.8061,1325392018
132539,2019,62.46316737,62.75517192,178.8316476,0.114996915,10.40765735,62.46324614,62.75411163,-19.736,1325392019
132539,2020,62.82093031,63.08001407,198.708124,0.07204392,3.577180818,62.82451985,63.07975712,-20.6056,1325392020
72308,2011,65.29008239,65.45875998,180.668417,0.049536624,6.986325561,65.29040329,65.4587542,-31.5301,723082011
72308,2012,65.4059832,65.5697848,166.4331104,0.038317163,2.051059522,65.41550575,65.56869247,-24.3763,723082012
72308,2013,65.53965208,65.71964311,176.1561485,0.063725696,6.550999106,65.54700437,65.71927934,-22.0404,723082013
72308,2016,64.94540552,65.86123829,241.3685961,0.012353689,22.93939781,65.67260128,65.84543913,-20.5206,723082016
72308,2017,65.10192966,65.93391109,176.0324832,0.013638283,16.89681506,65.82559533,65.92686839,-15.1449,723082017
72308,2018,65.8891584,66.08759804,182.9027436,0.044679856,5.987889312,65.89970918,66.08708433,-19.2845,723082018
72308,2019,66.02501493,66.23041261,156.5937539,0.052189152,0.880274122,66.03412789,66.22841031,-20.4067,723082019
72308,2020,66.34217528,66.61160004,196.5720107,0.027105961,4.955983773,66.3828723,66.60559221,-20.6676,723082020
102177,2012,68.80002522,69.18885446,172.2902215,0.034376293,3.793463539,68.84756623,69.18845996,-24.8638,1021772012
102177,2014,70.2479226,70.72017041,150.6425994,0.040807345,1.076465852,70.27999878,70.71714512,-19.1548,1021772014
102177,2015,70.69650938,71.03944433,173.0685491,0.038822357,2.910891879,70.72729712,71.03876971,-17.9656,1021772015
102177,2016,70.9815657,71.38274434,166.9931865,0.031790683,1.979949584,71.05226784,71.37836412,-20.5327,1021772016
102177,2017,70.91560594,71.71883183,140.6439197,0.020428436,3.243218352,71.41741056,71.71240488,-15.1102,1021772017
102177,2018,71.67404397,71.92994529,170.2398325,0.046291689,3.268340989,71.68738688,71.92940448,-19.2867,1021772018
102177,2020,72.0540598,72.32147362,187.8967063,0.026150224,2.316992128,72.08387536,72.30560451,-20.6865,1021772020
192466,2011,77.95456705,78.54633462,182.8187717,0.041095076,4.534498329,78,78.54619348,-31.3536,1924662011
192466,2012,78.37856459,79.19453884,171.8912874,0.025462713,3.425442802,78.56478361,79.18679364,-24.7205,1924662012
192466,2013,79.1617907,79.75484766,223.3020582,0.048321742,38.29216891,79.19167484,79.75108798,-18.904,1924662013
192466,2014,80.86920974,81.44649795,178.2571337,0.042999017,2.355014177,80.9,81.44519489,-19.342,1924662014
192466,2015,81.39326522,82.19527819,180.0988734,0.037572871,2.509747481,81.44987151,82.19049651,-17.7495,1924662015
192466,2016,82.25346332,82.68838299,203.6051754,0.045803317,2.970500455,82.26303461,82.67942974,-20.547,1924662016
192466,2017,82.67392399,83.25257333,202.5285293,0.036493482,5.626100433,82.76163593,83.23859594,-14.9691,1924662017
192466,2018,83.21862186,83.79417525,192.3292009,0.041986535,5.238185073,83.24463113,83.79345377,-19.2487,1924662018
192466,2019,83.7060506,84.28797511,169.5638743,0.046074049,3.904784947,83.79998389,84.28028357,-18.9894,1924662019
