year	num	seg	age	raw	std	res	ars
   1896	   3.	 118.000	   1.000	   2.168	   0.662	   0.767	   0.702
   1897	   3.	 118.000	   2.000	   2.861	   0.861	   1.142	   0.965
   1898	   8.	 116.625	   1.750	   2.591	   1.001	   1.009	   1.073
   1899	  17.	 111.882	   1.824	   2.452	   1.113	   1.081	   1.139
   1900	  27.	 112.926	   2.148	   1.872	   0.760	   0.768	   0.837
   1901	  30.	 112.967	   2.933	   2.370	   0.988	   1.158	   1.010
   1902	  35.	 110.714	   3.514	   2.546	   1.130	   1.112	   1.171
   1903	  39.	 110.821	   4.154	   2.353	   1.017	   0.966	   1.061
   1904	  47.	 110.638	   4.447	   2.352	   1.034	   1.014	   1.006
   1905	  50.	 110.600	   5.180	   2.281	   0.954	   0.946	   0.930
   1906	  54.	 110.426	   5.796	   2.348	   0.977	   1.002	   0.950
   1907	  55.	 110.382	   6.691	   2.113	   0.829	   0.850	   0.840
   1908	  59.	 110.102	   7.237	   1.916	   0.744	   0.841	   0.765
   1909	  62.	 108.710	   7.887	   2.132	   0.842	   1.022	   0.897
   1910	  62.	 108.710	   8.887	   2.141	   0.856	   0.955	   0.948
   1911	  63.	 108.635	   9.746	   2.054	   0.822	   0.911	   0.901
   1912	  65.	 108.462	  10.446	   2.077	   0.841	   0.952	   0.898
   1913	  66.	 108.364	  11.288	   1.976	   0.793	   0.879	   0.841
   1914	  66.	 108.364	  12.288	   2.449	   1.044	   1.193	   1.114
   1915	  66.	 108.364	  13.288	   2.485	   1.072	   1.029	   1.146
   1916	  68.	 108.074	  13.897	   2.520	   1.068	   1.036	   1.096
   1917	  70.	 107.771	  14.500	   2.769	   1.221	   1.170	   1.208
   1918	  71.	 107.606	  15.296	   2.727	   1.173	   1.051	   1.155
   1919	  71.	 107.606	  16.296	   2.701	   1.176	   1.070	   1.115
   1920	  71.	 107.606	  17.296	   2.765	   1.202	   1.086	   1.121
   1921	  71.	 107.606	  18.296	   2.701	   1.162	   1.035	   1.078
   1922	  71.	 107.606	  19.296	   2.395	   0.983	   0.917	   0.931
   1923	  72.	 107.389	  20.028	   2.329	   1.004	   0.978	   0.910
   1924	  73.	 107.164	  20.753	   2.427	   1.061	   1.036	   0.990
   1925	  73.	 107.164	  21.753	   2.784	   1.307	   1.232	   1.275
   1926	  73.	 107.164	  22.753	   2.697	   1.250	   1.049	   1.225
   1927	  73.	 107.164	  23.753	   2.879	   1.390	   1.206	   1.306
