"Year","IL_Bea_ACSA"
1901,0.745
1902,1.114
1903,1.047
1904,1.026
1905,0.806
1906,1.374
1907,1.066
1908,0.928
1909,0.959
1910,1.013
1911,0.745
1912,0.885
1913,0.733
1914,0.933
1915,0.916
1916,1.062
1917,0.891
1918,0.916
1919,0.83
1920,1.013
1921,0.888
1922,0.901
1923,1.064
1924,1.082
1925,0.925
1926,0.998
1927,1.421
1928,0.894
1929,0.961
1930,0.755
1931,1.058
1932,1.065
1933,1.044
1934,0.875
1935,0.94
1936,0.61
1937,1.347
1938,1.33
1939,0.893
1940,0.928
1941,0.877
1942,1.466
1943,1.044
1944,0.488
1945,1.423
1946,0.891
1947,1.097
1948,0.851
1949,0.773
1950,0.971
1951,0.974
1952,0.693
1953,0.809
1954,0.61
1955,1.171
1956,1.11
1957,1.169
1958,1.274
1959,1.106
1960,1.498
1961,0.935
1962,0.942
1963,1.005
1964,0.816
1965,1.027
1966,0.848
1967,0.967
1968,0.926
1969,1.018
1970,1.091
1971,0.916
1972,0.88
1973,1.132
1974,1.138
1975,0.959
1976,0.776
1977,1.064
1978,1.019
1979,1.064
1980,0.952
1981,1.176
1982,1.173
1983,0.901
1984,0.713
1985,1.084
1986,0.962
1987,1.218
1988,0.794
1989,1.148
1990,0.781
1991,0.637
1992,1.346
1993,0.957
1994,0.928
1995,1.148
1996,0.787
1997,0.947
1998,1.043
1999,1.069
2000,0.782
2001,0.873
2002,0.806
2003,0.777
2004,1.164
2005,1.239
2006,1.244
2007,0.838
2008,1.121
2009,1.319
2010,1.314
2011,0.902
2012,0.614
2013,0.653
2014,0.933
2015,1.212
2016,1.217
2017,NA
2018,NA
2019,NA
