"Year","MI_War_FAGR"
1901,0.615
1902,1.314
1903,1.242
1904,1.066
1905,1.311
1906,1.104
1907,0.878
1908,0.991
1909,0.83
1910,0.708
1911,0.827
1912,1.232
1913,0.991
1914,0.811
1915,1.398
1916,1.043
1917,0.717
1918,1.006
1919,0.911
1920,0.768
1921,0.822
1922,0.878
1923,0.986
1924,1.163
1925,0.736
1926,1.038
1927,1.066
1928,1.151
1929,1.082
1930,0.977
1931,0.746
1932,1.174
1933,0.848
1934,0.742
1935,1.09
1936,0.915
1937,1.016
1938,1.232
1939,1.004
1940,0.978
1941,1.092
1942,1.039
1943,0.945
1944,0.854
1945,1.02
1946,0.895
1947,1.069
1948,0.85
1949,0.978
1950,1.215
1951,1.072
1952,0.839
1953,0.79
1954,0.833
1955,1
1956,0.852
1957,1.036
1958,1.142
1959,0.876
1960,1.076
1961,1.114
1962,1.189
1963,1.108
1964,0.989
1965,1.143
1966,0.817
1967,0.996
1968,1.169
1969,0.923
1970,1.062
1971,0.838
1972,1.155
1973,0.799
1974,0.881
1975,1.139
1976,0.838
1977,0.792
1978,1.098
1979,1.031
1980,1.142
1981,1.171
1982,1.341
1983,0.614
1984,0.784
1985,1.193
1986,1.344
1987,0.901
1988,0.729
1989,1.208
1990,1.197
1991,1.135
1992,0.929
1993,1.132
1994,1.074
1995,1.085
1996,0.726
1997,1.118
1998,1.009
1999,1.038
2000,0.875
2001,1.082
2002,0.773
2003,0.936
2004,1.239
2005,0.981
2006,0.641
2007,0.839
2008,0.946
2009,0.924
2010,1.154
2011,0.968
2012,0.628
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
