"Year","Mashom_QUST"
1901,0.93
1902,1.268
1903,1.074
1904,1.126
1905,0.992
1906,0.913
1907,0.916
1908,0.928
1909,0.832
1910,1.074
1911,0.84
1912,0.981
1913,0.882
1914,0.889
1915,0.972
1916,1.065
1917,0.917
1918,0.919
1919,1.003
1920,1.169
1921,0.883
1922,0.962
1923,1.043
1924,1.093
1925,1.152
1926,0.952
1927,0.866
1928,1.013
1929,0.818
1930,1.149
1931,1.032
1932,0.995
1933,0.843
1934,0.967
1935,0.862
1936,0.881
1937,1.105
1938,1.103
1939,0.804
1940,0.84
1941,1.121
1942,0.953
1943,1.156
1944,0.954
1945,0.995
1946,1.08
1947,1.103
1948,1.102
1949,0.918
1950,1.104
1951,1.292
1952,1.09
1953,1.216
1954,1.048
1955,0.813
1956,1.049
1957,0.983
1958,1.05
1959,1.132
1960,1.056
1961,0.999
1962,0.958
1963,1.051
1964,0.975
1965,1.019
1966,0.983
1967,1.178
1968,1.071
1969,0.9
1970,0.952
1971,0.991
1972,0.728
1973,0.684
1974,0.973
1975,1.107
1976,0.937
1977,0.945
1978,1.062
1979,0.819
1980,0.975
1981,0.908
1982,1.01
1983,1.023
1984,0.982
1985,1.202
1986,0.793
1987,0.9
1988,1.061
1989,1.155
1990,1.142
1991,0.96
1992,1.098
1993,0.906
1994,1.015
1995,1.015
1996,0.97
1997,0.933
1998,1.079
1999,1.003
2000,1.082
2001,1.023
2002,0.914
2003,1.041
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
