"Year","Mohawk_QURU"
1901,0.196
1902,1.952
1903,0.908
1904,1.382
1905,1.398
1906,2.008
1907,1.303
1908,1.395
1909,1.3
1910,-0.042
1911,0.127
1912,1.576
1913,0.86
1914,1.02
1915,1.432
1916,1.817
1917,1.369
1918,1.119
1919,1.435
1920,-0.146
1921,0.171
1922,1.485
1923,0.615
1924,0.989
1925,1.162
1926,1.693
1927,1.353
1928,0.945
1929,1.448
1930,-0.195
1931,0.165
1932,1.648
1933,0.999
1934,1.038
1935,1.622
1936,1.85
1937,1.346
1938,1.125
1939,1.364
1940,-0.151
1941,0.153
1942,1.528
1943,0.905
1944,0.973
1945,1.497
1946,1.661
1947,1.371
1948,0.935
1949,1.373
1950,-0.196
1951,0.146
1952,1.678
1953,0.795
1954,1.118
1955,1.403
1956,1.615
1957,1.718
1958,0.744
1959,1.809
1960,-0.27
1961,0.262
1962,1.691
1963,0.867
1964,1.181
1965,1.496
1966,1.772
1967,1.287
1968,1.068
1969,1.29
1970,-0.149
1971,0.129
1972,1.564
1973,0.824
1974,1.08
1975,1.437
1976,1.842
1977,1.713
1978,1.048
1979,1.835
1980,-0.184
1981,0.278
1982,0.985
1983,0.576
1984,0.594
1985,1.062
1986,1.61
1987,1.348
1988,1.043
1989,1.488
1990,-0.153
1991,0.18
1992,1.354
1993,0.795
1994,0.982
1995,1.367
1996,1.683
1997,1.603
1998,1.015
1999,1.685
2000,-0.165
2001,0.233
2002,1.6
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
