"Year","Prospe_CAOV"
1901,1.222
1902,1.245
1903,0.923
1904,1.097
1905,1.121
1906,1.164
1907,0.927
1908,0.815
1909,0.738
1910,0.949
1911,0.972
1912,0.764
1913,0.848
1914,0.772
1915,1.137
1916,1.118
1917,0.842
1918,0.927
1919,0.969
1920,1.167
1921,0.901
1922,1.052
1923,0.845
1924,0.914
1925,1.112
1926,1.115
1927,0.909
1928,0.91
1929,1.201
1930,1.045
1931,1.257
1932,1.142
1933,1.013
1934,1.128
1935,1.148
1936,1.092
1937,1.043
1938,0.94
1939,1.108
1940,1.01
1941,0.765
1942,1.277
1943,1.012
1944,1.12
1945,0.942
1946,0.92
1947,1.183
1948,0.702
1949,0.731
1950,1.013
1951,1.058
1952,0.949
1953,0.932
1954,0.982
1955,1.191
1956,1.002
1957,0.833
1958,0.976
1959,0.994
1960,1.025
1961,1.043
1962,1.051
1963,0.891
1964,0.779
1965,0.844
1966,0.949
1967,0.865
1968,0.832
1969,0.941
1970,0.904
1971,0.998
1972,1.319
1973,0.825
1974,0.925
1975,1.09
1976,0.995
1977,1.024
1978,0.956
1979,0.995
1980,1.12
1981,1.034
1982,1.256
1983,1.055
1984,1.174
1985,1.01
1986,1.027
1987,1.057
1988,0.871
1989,1.289
1990,1.058
1991,0.911
1992,1.184
1993,1.032
1994,1.028
1995,0.77
1996,0.948
1997,0.925
1998,1.122
1999,0.602
2000,1.152
2001,1.025
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
