"res","samp.depth"
1.012,1
1.104,1
1.108,1
0.848,1
0.981,1
0.935,1
0.808,1
1.105,1
0.785,1
1.435,1
0.794,1
1.031,1
0.907,1
1.013,1
0.894,1
0.929,1
1.165,1
0.956,1
0.867,1
1.006,1
0.881,1
0.827,1
0.841,1
1.114,1
0.972,1
0.939,1
1.01,1
1.21,1
1.284,1
1.011,1
1.308,1
1.099,1
1.042,1
1.12,2
0.887,3
0.765,3
0.936,3
0.837,3
0.896,3
1.24,3
0.893,3
1.065,3
1.049,3
1.214,3
1.312,3
1.156,5
1.052,6
0.955,6
1.038,6
0.825,6
1.009,6
0.923,6
1.005,6
0.653,6
0.867,6
0.821,6
1.25,6
0.964,6
0.931,6
0.92,6
1.03,6
0.97,6
1.194,6
0.928,6
0.999,6
1.232,6
1.084,6
1.115,6
0.892,6
1.233,7
0.998,7
1.177,8
1.028,9
0.862,9
0.85,9
0.965,9
0.572,9
0.966,9
0.796,9
0.967,9
0.942,9
1.276,9
1.096,9
0.89,9
1.062,10
1.075,10
1.055,10
1.102,10
0.989,10
0.889,10
1.352,11
0.847,11
1.091,12
0.954,13
0.881,13
0.852,13
0.954,13
0.932,14
1.102,14
0.857,14
0.789,14
0.897,14
1.124,15
1.063,15
0.87,15
0.918,15
0.653,16
1.265,16
1.098,16
1.126,16
1.077,16
1.031,16
1.11,16
1.096,16
1.012,16
0.907,16
1.188,16
1.15,16
1.047,16
0.934,16
0.587,16
1.073,16
1.123,16
0.867,16
1.007,16
1.039,16
1.052,16
1.048,16
0.985,16
0.7,16
1.093,16
0.933,16
0.982,16
1.178,16
1.024,15
1.058,13
1.101,13
0.862,13
1.086,13
0.961,12
0.945,12
0.858,11
1.002,11
0.992,11
0.94,8
0.633,4
