"res","samp.depth"
1.012,1
0.955,1
0.959,1
0.988,1
1.045,1
1.054,1
1.122,1
1.003,1
0.903,2
1.076,4
0.931,4
0.877,4
0.968,4
1.015,4
1.074,4
1.126,4
0.928,4
1.061,5
1.173,6
1.039,6
0.976,6
0.972,6
0.977,6
1.193,6
0.959,6
0.996,7
0.942,8
1.107,10
0.953,10
0.927,10
0.865,10
0.858,10
0.879,10
0.936,11
0.789,11
1.102,11
0.876,12
0.979,13
1.16,13
1.038,13
1.021,17
0.902,17
1.039,17
1.063,19
1.039,19
1.002,23
0.794,24
1.122,24
0.901,26
1.033,29
1.039,32
1.149,32
1.025,33
0.85,36
1.006,37
0.885,38
1.041,40
0.957,43
1.064,45
1.051,46
1.079,46
1.106,46
0.869,47
1.013,48
0.98,49
0.936,55
0.9,58
0.935,60
1.081,60
0.881,61
0.904,61
0.947,61
0.951,61
1.007,61
1.01,61
0.876,61
0.846,63
1.005,63
1.058,63
1.207,63
1.069,63
1.271,63
0.849,63
1.125,65
1.052,66
0.959,66
0.99,67
0.995,68
0.983,69
0.843,69
1.093,69
1.196,69
1.028,70
1.085,70
0.876,70
0.934,70
0.961,70
0.967,70
1.109,71
1.063,71
0.762,71
1.22,71
0.917,71
0.86,71
0.982,71
1.001,71
1.018,71
1.033,71
0.98,71
1.111,71
0.966,71
0.926,71
0.952,71
1.085,71
0.781,71
1.118,71
1.054,71
1.108,71
0.975,71
0.915,71
0.771,71
1.07,71
0.896,71
0.96,71
1.179,71
0.997,71
1.055,71
1.007,71
1.01,71
0.961,71
1.024,70
1.022,70
1.093,69
1.043,12
1.086,10
0.958,10
0.885,10
0.926,10
0.842,10
0.893,8
0.705,3
