"Year","TN_Chi_QUAL"
1901,0.986
1902,1.178
1903,1.192
1904,1.05
1905,0.869
1906,1.086
1907,0.901
1908,1.001
1909,1.041
1910,0.962
1911,0.735
1912,1.094
1913,0.942
1914,0.843
1915,1.132
1916,1.099
1917,0.944
1918,1.015
1919,0.909
1920,1.088
1921,0.972
1922,1.158
1923,1.093
1924,0.982
1925,0.644
1926,0.957
1927,0.955
1928,0.92
1929,1.056
1930,0.777
1931,0.844
1932,1.077
1933,0.979
1934,1.209
1935,1.305
1936,0.912
1937,1.164
1938,1.111
1939,1.083
1940,1.161
1941,1.101
1942,1.035
1943,1.123
1944,0.891
1945,1.191
1946,1.121
1947,1.092
1948,0.999
1949,1.014
1950,0.955
1951,1.165
1952,0.759
1953,1.02
1954,0.861
1955,0.942
1956,0.964
1957,0.886
1958,1.029
1959,0.904
1960,1.026
1961,1.054
1962,1.022
1963,0.904
1964,0.981
1965,0.986
1966,0.77
1967,0.947
1968,0.968
1969,0.918
1970,0.943
1971,1.005
1972,1.096
1973,0.95
1974,1.058
1975,0.916
1976,1.087
1977,0.893
1978,1.072
1979,1.01
1980,1.025
1981,1.038
1982,1.201
1983,1.018
1984,0.685
1985,1.124
1986,1.007
1987,1.235
1988,0.923
1989,1.088
1990,1.048
1991,0.851
1992,1.131
1993,0.907
1994,1.096
1995,1.101
1996,1.029
1997,0.876
1998,0.928
1999,1.116
2000,0.892
2001,1.079
2002,1.065
2003,0.924
2004,1.002
2005,0.987
2006,0.902
2007,1.028
2008,0.884
2009,1.045
2010,0.916
2011,1.137
2012,0.993
2013,1.102
2014,0.948
2015,0.888
2016,1.009
2017,0.999
2018,0.934
2019,NA
