"Year","TN_Rai_LITU"
1901,1.042
1902,0.965
1903,1.046
1904,0.905
1905,1.047
1906,1.129
1907,0.866
1908,0.873
1909,1.1
1910,0.977
1911,0.789
1912,1.154
1913,1.054
1914,0.693
1915,1.329
1916,1.234
1917,1.016
1918,0.71
1919,1.093
1920,0.903
1921,0.804
1922,1.239
1923,0.935
1924,0.97
1925,0.665
1926,0.717
1927,0.906
1928,1.246
1929,1.038
1930,0.648
1931,0.969
1932,1.202
1933,0.9
1934,1.34
1935,1.046
1936,0.586
1937,1.369
1938,1.105
1939,1.139
1940,0.876
1941,0.916
1942,1.064
1943,0.937
1944,0.706
1945,1.219
1946,1.236
1947,0.961
1948,0.999
1949,1.302
1950,1.176
1951,0.989
1952,0.889
1953,1.227
1954,0.905
1955,1.038
1956,1.034
1957,0.98
1958,1.045
1959,0.91
1960,1.007
1961,0.959
1962,0.875
1963,0.898
1964,0.908
1965,0.808
1966,0.621
1967,1.054
1968,1.022
1969,0.874
1970,0.912
1971,1.143
1972,1.153
1973,0.96
1974,1.315
1975,1.001
1976,1.232
1977,0.841
1978,1.032
1979,0.743
1980,1.021
1981,0.942
1982,1.096
1983,1.013
1984,0.972
1985,1.102
1986,0.753
1987,0.998
1988,0.807
1989,1.14
1990,1.008
1991,1.005
1992,1.281
1993,0.908
1994,0.865
1995,1.204
1996,1.062
1997,1.092
1998,0.827
1999,1.178
2000,0.932
2001,0.647
2002,0.863
2003,1.09
2004,1.196
2005,0.684
2006,0.881
2007,0.681
2008,0.92
2009,1.023
2010,0.94
2011,0.992
2012,0.891
2013,1.283
2014,0.899
2015,0.939
2016,1.272
2017,1.176
2018,1.085
2019,NA
