"Year","IN_Lat_ACSA"
1901,0.821
1902,0.922
1903,1.018
1904,1.022
1905,1.101
1906,0.882
1907,1.037
1908,0.972
1909,0.933
1910,1.13
1911,0.742
1912,0.815
1913,0.632
1914,0.705
1915,1.472
1916,1.236
1917,1.113
1918,1.092
1919,1.116
1920,1.213
1921,1.012
1922,1.018
1923,1.12
1924,1.385
1925,1.089
1926,1.052
1927,1.289
1928,1.293
1929,1.115
1930,0.829
1931,0.8
1932,1.224
1933,0.893
1934,0.891
1935,1.122
1936,0.592
1937,0.684
1938,1.055
1939,1.045
1940,0.931
1941,0.806
1942,1.022
1943,0.982
1944,0.739
1945,1.209
1946,0.895
1947,1.114
1948,1.151
1949,1.131
1950,1.104
1951,1.196
1952,0.717
1953,0.812
1954,0.841
1955,1.013
1956,0.951
1957,1.281
1958,1.221
1959,0.845
1960,1.009
1961,0.731
1962,1.06
1963,1.063
1964,0.813
1965,1.154
1966,0.945
1967,0.762
1968,1.18
1969,0.888
1970,1
1971,1.021
1972,1.058
1973,1.16
1974,0.999
1975,0.977
1976,0.876
1977,0.99
1978,0.933
1979,0.799
1980,0.963
1981,0.867
1982,1.19
1983,0.882
1984,0.586
1985,0.926
1986,0.914
1987,1.129
1988,0.608
1989,1.169
1990,1.027
1991,0.991
1992,1.308
1993,1.08
1994,1.06
1995,0.95
1996,1.013
1997,1.121
1998,1.147
1999,0.947
2000,0.767
2001,1.207
2002,1.046
2003,1.091
2004,1.226
2005,1.072
2006,1
2007,0.778
2008,0.984
2009,1.148
2010,1.3
2011,0.751
2012,0.831
2013,0.878
2014,0.77
2015,1.164
2016,NA
2017,NA
2018,NA
2019,NA
