"Year","Montgo_LITU"
1901,0.852
1902,1.162
1903,1.01
1904,1.022
1905,0.75
1906,1.218
1907,0.998
1908,1.057
1909,0.868
1910,1.122
1911,0.917
1912,0.919
1913,1.015
1914,1.09
1915,1.23
1916,1.2
1917,0.852
1918,0.79
1919,1.318
1920,0.856
1921,1.29
1922,1.08
1923,0.947
1924,0.825
1925,0.926
1926,0.975
1927,1.059
1928,1.011
1929,0.928
1930,0.878
1931,1.017
1932,1.351
1933,1.047
1934,0.921
1935,0.957
1936,0.802
1937,1.164
1938,1.341
1939,0.81
1940,0.85
1941,1.168
1942,0.989
1943,1.001
1944,0.949
1945,1.26
1946,1.089
1947,0.973
1948,0.971
1949,0.986
1950,0.936
1951,1.36
1952,1.195
1953,0.91
1954,0.982
1955,1.108
1956,0.752
1957,0.759
1958,0.944
1959,1.007
1960,1.157
1961,1.152
1962,0.589
1963,1.089
1964,0.619
1965,0.694
1966,0.882
1967,1.079
1968,1.243
1969,0.955
1970,1.078
1971,0.835
1972,1.235
1973,1.308
1974,1.081
1975,0.98
1976,1.005
1977,1.032
1978,1.052
1979,0.952
1980,0.826
1981,0.837
1982,0.992
1983,1.003
1984,0.79
1985,1.253
1986,1.161
1987,0.923
1988,0.906
1989,1.097
1990,1.057
1991,0.809
1992,1.103
1993,0.739
1994,1.111
1995,0.994
1996,0.952
1997,0.909
1998,1.226
1999,0.833
2000,1.24
2001,0.938
2002,0.966
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
