"Year","NRP_QURU"
1901,0.893
1902,1.069
1903,1.025
1904,1.133
1905,0.998
1906,1.026
1907,0.984
1908,0.96
1909,0.926
1910,0.948
1911,0.825
1912,1.069
1913,0.894
1914,0.932
1915,0.987
1916,1.048
1917,1.028
1918,0.873
1919,0.906
1920,0.992
1921,0.975
1922,0.908
1923,0.931
1924,0.98
1925,0.974
1926,1.072
1927,1.02
1928,0.992
1929,0.912
1930,0.861
1931,0.887
1932,0.947
1933,0.945
1934,1.065
1935,0.922
1936,0.94
1937,1.009
1938,1.008
1939,0.865
1940,0.925
1941,0.983
1942,1.209
1943,1.087
1944,1.169
1945,1.052
1946,1.056
1947,1.271
1948,1.135
1949,0.842
1950,1.037
1951,1.047
1952,0.966
1953,0.921
1954,1.056
1955,1.107
1956,0.921
1957,0.968
1958,0.932
1959,0.883
1960,1.178
1961,1.189
1962,0.971
1963,0.969
1964,1.041
1965,0.921
1966,0.942
1967,1.107
1968,1.118
1969,1.1
1970,1.156
1971,0.821
1972,1.196
1973,1.139
1974,0.975
1975,1.141
1976,1.073
1977,1.058
1978,1.005
1979,1.122
1980,1.003
1981,0.671
1982,1.046
1983,0.79
1984,1.042
1985,1.061
1986,0.877
1987,1.118
1988,0.934
1989,0.998
1990,0.999
1991,0.867
1992,1.03
1993,1.027
1994,1.015
1995,0.862
1996,1.061
1997,0.906
1998,0.941
1999,0.96
2000,0.99
2001,1.181
2002,0.961
2003,0.885
2004,1.164
2005,1.051
2006,1.04
2007,1.056
2008,0.98
2009,1.024
2010,0.925
2011,0.887
2012,0.85
2013,0.88
2014,1.049
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
