"Year","IL_Bea_QUAL"
1901,0.875
1902,0.865
1903,1.264
1904,1.144
1905,1.082
1906,0.909
1907,1.152
1908,1.196
1909,0.915
1910,1.145
1911,0.531
1912,1.09
1913,0.822
1914,0.741
1915,1.247
1916,1.092
1917,0.916
1918,0.718
1919,0.931
1920,0.769
1921,0.871
1922,0.948
1923,0.92
1924,1.038
1925,0.826
1926,0.865
1927,1.287
1928,1.14
1929,0.889
1930,0.742
1931,0.788
1932,0.919
1933,1.028
1934,0.991
1935,1.159
1936,0.806
1937,0.921
1938,1.365
1939,0.983
1940,1.08
1941,0.737
1942,1.255
1943,1.159
1944,0.918
1945,1.351
1946,1.134
1947,1.133
1948,1
1949,1.024
1950,0.939
1951,1.118
1952,0.956
1953,1.083
1954,0.721
1955,1.127
1956,1.033
1957,1.281
1958,1.043
1959,0.925
1960,0.983
1961,1.033
1962,0.946
1963,0.942
1964,0.863
1965,0.95
1966,1.076
1967,0.983
1968,1.045
1969,0.946
1970,1.064
1971,0.99
1972,0.909
1973,1.213
1974,1.155
1975,0.83
1976,1.018
1977,0.922
1978,0.92
1979,1.093
1980,1.092
1981,0.818
1982,1.128
1983,1.07
1984,0.774
1985,1.211
1986,0.945
1987,1.122
1988,0.763
1989,1.112
1990,1.017
1991,0.867
1992,1.129
1993,0.87
1994,0.962
1995,1.126
1996,0.931
1997,0.86
1998,0.935
1999,1.114
2000,1.128
2001,1.141
2002,1.068
2003,0.971
2004,1.038
2005,0.89
2006,0.989
2007,0.812
2008,1.1
2009,1.065
2010,1.017
2011,1.095
2012,0.758
2013,1.001
2014,0.86
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
