tag,stemtag,survey.ID,year,month,day,biannual,intraannual,sp,quadrat,lx,ly,measure,codes,notes,status,field.recorders,data.enter,stemID,treeID,dendDiam,dbh,new.band,dendroID,type,dir,dendHt,crown.condition,crown.illum,lianas,measureID,flag,newmeasure
10469,1,2017.01,2017,4,18,1,0,litu,109,9.7,1,80.9,,,alive,Valentine Herrmann,Caroline Kittle,1419,1419,NA,838.8,0,632,2,NA,1.4,4,4,NA,NA,0,NA
10469,1,2017.12,2017,11,16,1,0,litu,109,9.7,1,104.24,,,alive,"Lauren Bowman, Mario Morales",Lauren Bowman,1419,1419,NA,838.8,0,632,2,NA,1.4,NA,NA,NA,NA,0,NA
10587,1,2017.01,2017,4,18,1,0,litu,113,2.6,13,129.89,,,alive,Valentine Herrmann,Caroline Kittle,1526,1526,NA,965,0,2,2,NA,1.38,4,4,NA,NA,0,NA
10587,1,2017.12,2017,11,16,1,0,litu,113,2.6,13,143.47,,,alive,"Lauren Bowman, Mario Morales",Lauren Bowman,1526,1526,NA,965,0,2,2,NA,1.38,NA,NA,NA,NA,0,NA
10609,1,2017.01,2017,4,18,1,0,cagl,111,19.5,2.9,61.21,,,alive,Valentine Herrmann,Caroline Kittle,1548,1548,NA,439,0,3,2,NA,1.39,3,5,NA,NA,0,NA
10609,1,2017.12,2017,11,16,1,0,cagl,111,19.5,2.9,69.48,,,alive,"Lauren Bowman, Mario Morales",Lauren Bowman,1548,1548,NA,439,0,3,2,NA,1.39,NA,NA,NA,NA,0,NA
10671,1,2017.01,2017,4,18,1,1,quru,114,6.2,14.5,21.44,,,alive,Valentine Herrmann,Caroline Kittle,1609,1609,NA,851,0,695,2,NA,1.32,4,4,NA,NA,0,NA
10671,1,2017.02,2017,5,18,1,1,quru,114,6.2,14.5,24.57,,,alive,Victoria Meakem,Victoria Meakem,1609,1609,NA,851,0,695,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.03,2017,6,2,1,1,quru,114,6.2,14.5,25.7,,,alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,0,695,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.04,2017,6,21,1,1,quru,114,6.2,14.5,27.99,,,alive,Abigail Ferson,Abigail Ferson,1609,1609,NA,851,0,695,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.05,2017,6,30,1,1,quru,114,6.2,14.5,28.92,,,alive,Abigail Ferson,Abigail Ferson,1609,1609,NA,851,0,695,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.06,2017,7,13,1,1,quru,114,6.2,14.5,NA,,,alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,0,695,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.07,2017,7,31,1,1,quru,114,6.2,14.5,9.02,,"replaced, 7/27",alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,1,750,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.09,2017,8,17,1,1,quru,114,6.2,14.5,9.41,,,alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.1,2017,9,11,1,1,quru,114,6.2,14.5,10.73,,,alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.11,2017,9,21,1,1,quru,114,6.2,14.5,10.34,,,alive,Ryan Helcoski,Ryan Helcoski,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,0,NA
10671,1,2017.12,2017,11,16,1,1,quru,114,6.2,14.5,10.26,,,alive,"Lauren Bowman, Mario Morales",Lauren Bowman,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA,0,NA
12025,1,2017.01,2017,4,18,1,1,quru,117,15,16.3,126.5,,,alive,"Erika Gonzalez-Akre, Joe Kolowski",Caroline Kittle,1713,1713,NA,832.5,0,244,2,NA,1.3,3,4,NA,NA,0,NA
