tag,stemtag,survey.ID,year,month,day,biannual,intraannual,sp,quadrat,lx,ly,measure,codes,notes,status,field.recorders,data.enter,stemID,treeID,dendDiam,dbh,new.band,dendroID,type,dir,dendHt,crown.condition,crown.illum,lianas,measureID
10469,1,2020.01,2020,3,11,1,0,litu,109,9.7,1,NA,RE,window too large to measure,alive,Cameron Dow,Jessica Shue,1419,1419,NA,838.8,0,632,2,NA,1.4,NA,NA,NA,NA
10587,1,2020.01,2020,3,11,1,0,litu,113,2.6,13,61.41,NA,NA,alive,Cameron Dow,Jessica Shue,1526,1526,NA,985,0,897,2,NA,1.35,NA,NA,NA,NA
10609,1,2020.01,2020,3,11,1,0,cagl,111,19.5,2.9,81.03,NA,double-checked,alive,Cameron Dow,Jessica Shue,1548,1548,NA,439,0,3,2,NA,1.39,NA,NA,NA,NA
10671,1,2020.01,2020,3,11,1,1,quru,114,6.2,14.5,50.6,NA,NA,alive,Cameron Dow,Jessica Shue,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.02,2020,3,30,1,1,quru,114,6.2,14.5,51.85,NA,NA,alive,Cameron Dow,Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.03,2020,4,14,1,1,quru,114,6.2,14.5,53.41,NA,NA,alive,Cameron Dow,Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.04,2020,5,2,1,1,quru,114,6.2,14.5,54.91,NA,NA,alive,Cameron Dow,Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.05,2020,5,15,1,1,quru,114,6.2,14.5,56.47,NA,NA,alive,Cameron Dow,Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.06,2020,5,31,1,1,quru,114,6.2,14.5,57.63,, ,alive, Cameron Dow, Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.07,2020,6,12,1,1,quru,114,6.2,14.5,59.07,, ,alive, Cameron Dow, Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.08,2020,6,26,1,1,quru,114,6.2,14.5,61.16,, ,alive, Cameron Dow, Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.09,2020,7,8,1,1,quru,114,6.2,14.5,62.56,, ,alive, Cameron Dow, Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.1,2020,7,23,1,1,quru,114,6.2,14.5,64.7,,,alive, Cameron Dow, Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
10671,1,2020.11,2020,8,9,1,1,quru,114,6.2,14.5,67.62,, ,alive, Cameron Dow, Cameron Dow,1609,1609,NA,851,0,750,2,NA,1.32,NA,NA,NA,NA
