Number,Location,Species,Wood Type,CTW Tmin,CTW Tmax,Latitude,Longitude,Slope April - April:June-July Tmax,P-value April - April:June-July Tmax,Slope June-July - April:June-July Tmax,P-value June-July - April:June-July Tmax,Slope April:June-July Tmax,P-value April:June-July Tmax,January,January Sig,February,February Sig,March,March Sig,April,April Sig,May,May Sig,June,June Sig,July,July Sig,August,August Sig
1,"Sheridan Mountain, VT",Quercus rubra,RP,-2.738655512,7.864706013,44.5284,-71.63805,-0.032728135,0.801562639,-0.00792587,0.872171654,0.001593059,0.79155154,0.147530152,NS,0.101943917,NS,-0.1565247,NS,0.022071419,NS,-0.23520415,<0.05,-0.040387595,NS,0.112964017,NS,0.340875641,<0.05
2,"Goodnow Mountain, NY",Quercus rubra,RP,-3.69411771,8.826890937,43.9077167,-74.2180333,0.058358485,0.684035715,-0.007845603,0.892929594,-0.002215457,0.730670898,-0.044714294,NS,0.153384329,NS,-0.021602604,NS,0.086841852,NS,-0.042781142,NS,-0.1759753,NS,-0.120130463,NS,0.078610439,NS
3,"UMB Flux Site, MI",Quercus rubra,RP,-1.488235324,10.05546234,45.5598,-84.7138,0.147488696,0.252411412,0.047987366,0.398130278,-0.005850894,0.26970075,0.022685432,NS,0.149069281,NS,0.022919992,NS,0.044940787,NS,0.020151428,NS,-0.081237647,NS,-0.084795644,NS,-0.106614512,NS
4,"Rooster Hill, RH",Quercus rubra,RP,-1.457983214,10.80420183,43.23138,-74.52254,-0.088218377,0.453462129,-0.043622473,0.421118591,0.003570011,0.461256329,0.071905826,NS,-0.015036528,NS,-0.160347436,NS,-0.040533915,NS,0.02204548,NS,-0.085960678,NS,-0.011880362,NS,0.085617492,NS
5,"Lake George, NY",Quercus velutina,RP,-1.120168085,11.27815145,43.6844,-73.6024667,0.08375364,0.629170555,-0.004395532,0.955919299,-0.003541565,0.61325297,0.056387055,NS,-0.161450517,NS,-0.115949926,NS,-0.094359212,NS,0.043674866,NS,-0.295777751,<0.002,-0.175218113,NS,0.013587124,NS
6,"Winooski, VT",Carya ovata,RP,0.34201681,11.7327733,44.555753,-73.113145,0.03901939,0.820241545,-0.033738262,0.675539192,-0.001258,0.852568573,-0.093010817,NS,0.065459713,NS,-0.01879994,NS,0.015134695,NS,0.057817062,NS,-0.326735122,<0.002,-0.172162847,NS,0.029772967,NS
7,"Winooski, VT",Quercus alba,RP,0.34201681,11.7327733,44.555753,-73.113145,0.197819528,0.355754612,0.025724297,0.797628684,-0.00732253,0.385761762,-0.070594385,NS,0.081423986,NS,0.051321073,NS,0.041432118,NS,-0.08604361,NS,-0.247103941,<0.05,-0.252952361,<0.05,0.01673042,NS
8,"Winooski, VT",Quercus mongolica,RP,0.34201681,11.7327733,44.555753,-73.113145,0.140649495,0.472523477,0.028496473,0.756189924,-0.005278969,0.493962303,0.048350423,NS,0.121301822,NS,0.0294858,NS,0.03521532,NS,-0.096515162,NS,-0.155287069,NS,-0.149052225,NS,0.090494304,NS
9,"Pine Lake, NY",Quercus rubra,RP,-0.775630267,11.97563046,42.4713333,-74.9258167,-0.135272479,0.381498298,-0.108031927,0.156279696,0.005595692,0.378078713,0.121784095,NS,-0.121185855,NS,-0.085958961,NS,-0.043464258,NS,-0.018560215,NS,-0.307801419,<0.002,-0.239045859,<0.05,-0.111500603,NS
10,"Zoar Lick, NY",Quercus rubra,RP,-0.576470595,12.01680692,42.4230333,-78.8945,-0.042083051,0.780722342,-0.060565937,0.407570502,0.001489904,0.805807489,-0.111561718,NS,-0.099209076,NS,-0.00954069,NS,-0.127417995,NS,0.129588968,NS,-0.41175033,<0.002,-0.146646189,NS,-0.012073899,NS
11,"Singer Farm, NY",Quercus rubra,RP,2.115126085,12.03613465,43.3496333,-78.6612333,-0.010904448,0.931564265,-0.019709391,0.743953347,0.000257922,0.95853933,-0.013009489,NS,-0.053974305,NS,-0.033789503,NS,-0.106012206,NS,0.241112276,<0.05,-0.186186298,<0.05,-0.079012452,NS,-0.002204662,NS
12,"Warren Cutler Boy Scout Res., NY",Quercus rubra,RP,1.136134473,12.20504229,42.68245,-77.4299667,0.121412607,0.371658156,0.028811837,0.663861819,-0.005006668,0.347176927,0.000254878,NS,-0.004415576,NS,-0.104289967,NS,-0.177170126,NS,0.035487759,NS,-0.223923816,<0.05,-0.240185941,<0.05,-0.193595715,NS
