"deltaAICc","WindowOpen","WindowClose","ModelBeta","Std.Error","ModelBetaQ","ModelBetaC","ModelInt","Function","Furthest","Closest","Statistics","Type","K","ModWeight","sample.size","Reference.day","Reference.month","Randomised"
-203.275113169047,6,1,-4.82482156329829,0.313219723327742,NA,NA,260.411486761561,"lin",19.7142857142857,0,"mean","absolute",0,0.520125030948761,5,"16","06","no"
-202.700604178576,5,0,-4.32264151737802,0.281071886658608,NA,NA,253.29068305599,"lin",19.7142857142857,0,"mean","absolute",0,0.390260604085335,5,"16","06","no"
-198.511374943333,12,4,-11.7300922304548,0.771841938475395,NA,NA,329.371561524889,"lin",19.7142857142857,0,"mean","absolute",0,0.0480479809109142,5,"16","06","no"
-198.0858905401,12,3,-9.69621816491855,0.638790547847528,NA,NA,303.924394000749,"lin",19.7142857142857,0,"mean","absolute",0,0.0388402823254626,5,"16","06","no"
-192.169876927955,6,2,-4.96138561938843,0.332521359670996,NA,NA,261.393746557472,"lin",19.7142857142857,0,"mean","absolute",0,0.00201667699784465,5,"16","06","no"
-188.381326132945,13,3,-12.6679145511953,0.858625453097435,NA,NA,337.778613626851,"lin",19.7142857142857,0,"mean","absolute",0,0.000303363266801442,5,"16","06","no"
-187.07664609683,11,4,-9.91979329522709,0.674997445677534,NA,NA,312.9384235797,"lin",19.7142857142857,0,"mean","absolute",0,0.000157999357992389,5,"16","06","no"
-187.004058547223,12,0,-6.45220607454877,0.439139666022461,NA,NA,269.00355265591,"lin",19.7142857142857,0,"mean","absolute",0,0.000152367778674139,5,"16","06","no"
-185.850838761711,6,0,-4.0269817336411,0.275034121616657,NA,NA,246.254138839738,"lin",19.7142857142857,0,"mean","absolute",0,8.56001728242126e-05,5,"16","06","no"
-179.117359127285,12,5,-12.2732734120825,0.855784112105606,NA,NA,330.423553887875,"lin",19.7142857142857,0,"mean","absolute",0,2.95337175337222e-06,5,"16","06","no"
-178.605933071592,13,0,-7.453752308897,0.520563876615904,NA,NA,280.177960255124,"lin",19.7142857142857,0,"mean","absolute",0,2.28698523064666e-06,5,"16","06","no"
-178.131771360892,11,0,-5.71302799639589,0.399587203305704,NA,NA,261.548529462241,"lin",19.7142857142857,0,"mean","absolute",0,1.80426553238678e-06,5,"16","06","no"
-178.028451517557,4,3,-4.2050970073737,0.29421325326764,NA,NA,239.780337980017,"lin",19.7142857142857,0,"mean","absolute",0,1.71342395263465e-06,5,"16","06","no"
-175.91913110413,4,0,-3.41919496532689,0.240826458697915,NA,NA,234.643154250448,"lin",19.7142857142857,0,"mean","absolute",0,5.9680400061584e-07,5,"16","06","no"
-174.354432257421,5,3,-5.07321909900686,0.359112391364734,NA,NA,260.556457304249,"lin",19.7142857142857,0,"mean","absolute",0,2.72936544095733e-07,5,"16","06","no"
-174.184507460797,13,4,-15.7270669484199,1.11386048928656,NA,NA,374.022937875365,"lin",19.7142857142857,0,"mean","absolute",0,2.50704995367858e-07,5,"16","06","no"
-173.549530798803,5,1,-4.28149484591412,0.303852802231151,NA,NA,250.880363052469,"lin",19.7142857142857,0,"mean","absolute",0,1.82507012993919e-07,5,"16","06","no"
-168.25560826312,2,0,-2.93925329066555,0.212223378500496,NA,NA,229.973247340743,"lin",19.7142857142857,0,"mean","absolute",0,1.29335839041623e-08,5,"16","06","no"
-167.548710950127,12,1,-6.72513799176493,0.486712910938148,NA,NA,269.95528581677,"lin",19.7142857142857,0,"mean","absolute",0,9.08276512383445e-09,5,"16","06","no"
-165.551055926355,14,0,-9.10643647032743,0.663453003847982,NA,NA,298.90175007709,"lin",19.7142857142857,0,"mean","absolute",0,3.34528256356159e-09,5,"16","06","no"
-165.049909824881,12,2,-7.48897427567719,0.546529800799821,NA,NA,277.793141842744,"lin",19.7142857142857,0,"mean","absolute",0,2.60381613373121e-09,5,"16","06","no"
-164.793515876864,13,13,4.26850672281354,0.311775231373462,NA,NA,136.54390146743,"lin",19.7142857142857,0,"mean","absolute",0,2.29052520556584e-09,5,"16","06","no"
-163.632647872231,13,5,-19.1641946831417,1.40525963894019,NA,NA,408.931443497846,"lin",19.7142857142857,0,"mean","absolute",0,1.28190485075251e-09,5,"16","06","no"
-162.957901561602,11,3,-7.37320086226853,0.541895138099568,NA,NA,276.950736235951,"lin",19.7142857142857,0,"mean","absolute",0,9.14821770560645e-10,5,"16","06","no"
-160.678123245388,1,1,-2.87977624828398,0.213304772800772,NA,NA,227.323888997894,"lin",19.7142857142857,0,"mean","absolute",0,2.92609835427594e-10,5,"16","06","no"
-160.642657160104,5,2,-4.4334123919091,0.328422508474287,NA,NA,252.282331113197,"lin",19.7142857142857,0,"mean","absolute",0,2.87466709152582e-10,5,"16","06","no"
-158.086615898973,3,0,-2.86197806579887,0.213897114438081,NA,NA,224.825717709203,"lin",19.7142857142857,0,"mean","absolute",0,8.00848284657202e-11,5,"16","06","no"
-155.19900684139,10,0,-4.46897662760392,0.337408153488745,NA,NA,243.554695243367,"lin",19.7142857142857,0,"mean","absolute",0,1.89022677175524e-11,5,"16","06","no"
-154.28377911504,7,1,-3.84777453264912,0.291453715536665,NA,NA,237.496461974296,"lin",19.7142857142857,0,"mean","absolute",0,1.19611995073312e-11,5,"16","06","no"
-152.358279708218,1,0,-2.39796345916332,0.182893606545213,NA,NA,218.023212962056,"lin",19.7142857142857,0,"mean","absolute",0,4.56728224537057e-12,5,"16","06","no"
-152.199637463472,13,1,-7.69027951061782,0.586876090554789,NA,NA,279.829849749435,"lin",19.7142857142857,0,"mean","absolute",0,4.21899610933491e-12,5,"16","06","no"
-151.865698082415,11,1,-5.65753747424567,0.432270110704383,NA,NA,257.894549008023,"lin",19.7142857142857,0,"mean","absolute",0,3.57022107782722e-12,5,"16","06","no"
-146.335925966937,13,2,-8.73900919210723,0.68141211496375,NA,NA,290.629094962865,"lin",19.7142857142857,0,"mean","absolute",0,2.24864217369291e-13,5,"16","06","no"
-142.192784357114,7,0,-3.2580040089265,0.258049709806653,NA,NA,227.981602300641,"lin",19.7142857142857,0,"mean","absolute",0,2.83301309677797e-14,5,"16","06","no"
-141.83232271725,10,1,-4.61907777777599,0.366359373755209,NA,NA,243.98838027615,"lin",19.7142857142857,0,"mean","absolute",0,2.36578531484397e-14,5,"16","06","no"
-139.921980288661,11,2,-5.88774109577773,0.470440665448847,NA,NA,258.671992154385,"lin",19.7142857142857,0,"mean","absolute",0,9.10227063330644e-15,5,"16","06","no"
-135.277766244405,8,1,-4.44092387345045,0.361397099087881,NA,NA,247.282020889542,"lin",19.7142857142857,0,"mean","absolute",0,8.92629998291151e-16,5,"16","06","no"
-134.794963460158,8,0,-3.86035445336117,0.314759939715063,NA,NA,238.286254339306,"lin",19.7142857142857,0,"mean","absolute",0,7.01184303270318e-16,5,"16","06","no"
-133.306905049947,7,2,-3.61067431260944,0.296175754141374,NA,NA,231.482180888436,"lin",19.7142857142857,0,"mean","absolute",0,3.33199550804689e-16,5,"16","06","no"
-129.860216805815,4,1,-2.91862197498084,0.242819425180924,NA,NA,223.181683240786,"lin",19.7142857142857,0,"mean","absolute",0,5.94655670562685e-17,5,"16","06","no"
-125.693775792444,10,2,-4.54567683424999,0.384884028730731,NA,NA,240.538722021598,"lin",19.7142857142857,0,"mean","absolute",0,7.40515910328389e-18,5,"16","06","no"
-121.788917172596,12,6,-9.08838356046028,0.782661602755802,NA,NA,278.177301462553,"lin",19.7142857142857,0,"mean","absolute",0,1.05100581372398e-18,5,"16","06","no"
-120.924409232685,15,0,-7.1954098474904,0.622013999641446,NA,NA,266.51187872257,"lin",19.7142857142857,0,"mean","absolute",0,6.82149561724882e-19,5,"16","06","no"
-115.829941712789,10,3,-4.51004962207688,0.398946468132305,NA,NA,236.84691140165,"lin",19.7142857142857,0,"mean","absolute",0,5.34109174965084e-20,5,"16","06","no"
-115.58483118904,9,0,-3.82212220256228,0.33847640191139,NA,NA,235.46835013449,"lin",19.7142857142857,0,"mean","absolute",0,4.72503428829268e-20,5,"16","06","no"
-113.880414645026,8,2,-4.2920767244427,0.383114404355823,NA,NA,242.746276913974,"lin",19.7142857142857,0,"mean","absolute",0,2.01509541310399e-20,5,"16","06","no"
-111.87174884144,4,2,-2.7579915031623,0.24852205144874,NA,NA,218.481877200332,"lin",19.7142857142857,0,"mean","absolute",0,7.38107090301989e-21,5,"16","06","no"
-111.53661369894,10,4,-5.00373248449136,0.451604733276706,NA,NA,243.735415089015,"lin",19.7142857142857,0,"mean","absolute",0,6.24231536501953e-21,5,"16","06","no"
-110.66370120016,6,3,-3.14708211172221,0.285223182174055,NA,NA,224.477261476177,"lin",19.7142857142857,0,"mean","absolute",0,4.03455058467176e-21,5,"16","06","no"
-103.143222623127,9,1,-4.02920452875602,0.379027847574004,NA,NA,237.487313874092,"lin",19.7142857142857,0,"mean","absolute",0,9.3916952405665e-23,5,"16","06","no"
-102.596489996089,14,1,-7.53805450288613,0.7110962696763,NA,NA,272.053396047948,"lin",19.7142857142857,0,"mean","absolute",0,7.1453335994493e-23,5,"16","06","no"
-102.015378003753,11,5,-6.50939707823131,0.615900068173905,NA,NA,259.372369983534,"lin",19.7142857142857,0,"mean","absolute",0,5.34362095179478e-23,5,"16","06","no"
-100.574739683927,3,1,-2.12090977264144,0.202183049466441,NA,NA,208.579989024633,"lin",19.7142857142857,0,"mean","absolute",0,2.60018954456698e-23,5,"16","06","no"
-99.0475700867464,14,12,3.19825869143596,0.307348641937806,NA,NA,146.687748902885,"lin",19.7142857142857,0,"mean","absolute",0,1.21166996630499e-23,5,"16","06","no"
-98.4304941713426,16,16,1.75772409399296,0.169470708848233,NA,NA,161.509849294218,"lin",19.7142857142857,0,"mean","absolute",0,8.8999590964998e-24,5,"16","06","no"
-98.3943218079658,0,0,-1.43533748277025,0.138414574968848,NA,NA,197.777426931317,"lin",19.7142857142857,0,"mean","absolute",0,8.74043971585275e-24,5,"16","06","no"
-92.4373908403913,17,17,-1.10074151790195,0.109678753120244,NA,NA,166.763700922528,"lin",19.7142857142857,0,"mean","absolute",0,4.44633476441372e-25,5,"16","06","no"
-90.2751218189942,2,1,-1.93810291209784,0.195514820878685,NA,NA,207.96594716146,"lin",19.7142857142857,0,"mean","absolute",0,1.50824330234378e-25,5,"16","06","no"
-89.6218552041264,14,3,-11.2932421652927,1.14357786527754,NA,NA,310.658011091815,"lin",19.7142857142857,0,"mean","absolute",0,1.08796860271057e-25,5,"16","06","no"
-87.7814555764489,11,6,-5.79405844783444,0.593091867841658,NA,NA,242.869424969945,"lin",19.7142857142857,0,"mean","absolute",0,4.33489578411326e-26,5,"16","06","no"
-87.4287975615671,3,3,-1.83450170528313,0.188177019606362,NA,NA,197.107862678216,"lin",19.7142857142857,0,"mean","absolute",0,3.63412570933864e-26,5,"16","06","no"
-85.5771210504781,14,13,1.86175266862852,0.193108396087159,NA,NA,155.545289259827,"lin",19.7142857142857,0,"mean","absolute",0,1.43983756678905e-26,5,"16","06","no"
-81.1302367144917,17,0,-5.07860822459172,0.541538221248209,NA,NA,230.035215938317,"lin",19.7142857142857,0,"mean","absolute",0,1.55842115928722e-27,5,"16","06","no"
-80.4525754246088,9,2,-3.71117021079589,0.397445557901665,NA,NA,230.223205954796,"lin",19.7142857142857,0,"mean","absolute",0,1.11053578320911e-27,5,"16","06","no"
-74.9314414944247,18,0,-4.60364854700495,0.511415085698198,NA,NA,221.478172271895,"lin",19.7142857142857,0,"mean","absolute",0,7.02479341268129e-29,5,"16","06","no"
