"deltaAICc","WindowOpen","WindowClose","ModelBeta","Std.Error","ModelBetaQ","ModelBetaC","ModelInt","Function","Furthest","Closest","Statistics","Type","K","ModWeight","sample.size","Reference.day","Reference.month","Randomised"
-142.788347742926,6,4,-3.53696091588555,0.277773053416701,NA,NA,233.173736781934,"lin",19.7142857142857,0,"mean","absolute",0,0.998819296392289,5,"18","06","no"
-129.233092312083,14,14,2.92667973164644,0.242760952363646,NA,NA,147.083997189432,"lin",19.7142857142857,0,"mean","absolute",0,0.00113762887527808,5,"18","06","no"
-122.653693520235,7,3,-3.13907212022837,0.267876789472763,NA,NA,227.712352997839,"lin",19.7142857142857,0,"mean","absolute",0,4.23937966212428e-05,5,"18","06","no"
-114.321138366156,7,4,-2.49025048728415,0.220733096368207,NA,NA,213.547071257219,"lin",19.7142857142857,0,"mean","absolute",0,6.5752300193652e-07,5,"18","06","no"
-107.164903140379,7,2,-2.81262229006629,0.258095892533431,NA,NA,222.453590552188,"lin",19.7142857142857,0,"mean","absolute",0,1.83634474006334e-08,5,"18","06","no"
-102.674658438335,6,5,-2.49511140448194,0.234243757568343,NA,NA,215.961776604558,"lin",19.7142857142857,0,"mean","absolute",0,1.94495683391417e-09,5,"18","06","no"
-101.949074667538,7,0,-2.65420059723174,0.250120605589607,NA,NA,221.949023947545,"lin",19.7142857142857,0,"mean","absolute",0,1.35316717195678e-09,5,"18","06","no"
-101.221359746589,7,1,-2.39860336880066,0.226896199715204,NA,NA,215.229904950057,"lin",19.7142857142857,0,"mean","absolute",0,9.40437992839757e-10,5,"18","06","no"
-100.888481449952,12,5,-5.7703062927634,0.54679858749728,NA,NA,252.868274183017,"lin",19.7142857142857,0,"mean","absolute",0,7.96244714006886e-10,5,"18","06","no"
-92.6591855007782,13,5,-6.47794639175548,0.642107736402818,NA,NA,257.680307153254,"lin",19.7142857142857,0,"mean","absolute",0,1.30040206923153e-11,5,"18","06","no"
-87.1940477229073,6,1,-2.29971546721688,0.235349028901869,NA,NA,213.90800533012,"lin",19.7142857142857,0,"mean","absolute",0,8.45937080335068e-13,5,"18","06","no"
-85.260282970693,6,0,-2.50218015858619,0.259091864262908,NA,NA,219.656123132918,"lin",19.7142857142857,0,"mean","absolute",0,3.21681719389933e-13,5,"18","06","no"
-85.131305284981,13,6,-6.83351174086879,0.708146039723353,NA,NA,258.995930771964,"lin",19.7142857142857,0,"mean","absolute",0,3.01591594108044e-13,5,"18","06","no"
-81.4584212350501,13,4,-5.05768256557025,0.53631809295126,NA,NA,239.42232547873,"lin",19.7142857142857,0,"mean","absolute",0,4.80687241372018e-14,5,"18","06","no"
-79.3886762125712,7,5,-1.65745569259945,0.178125535314269,NA,NA,199.064272961404,"lin",19.7142857142857,0,"mean","absolute",0,1.70774559558543e-14,5,"18","06","no"
-76.5796616654106,8,3,-2.22725190851093,0.243876002286728,NA,NA,207.842345577947,"lin",19.7142857142857,0,"mean","absolute",0,4.19231025279406e-15,5,"18","06","no"
-76.3462782100942,8,2,-2.21631493186437,0.243062332625738,NA,NA,208.657560051475,"lin",19.7142857142857,0,"mean","absolute",0,3.73056697940851e-15,5,"18","06","no"
-76.217612489133,8,0,-2.15151192264178,0.236161565086134,NA,NA,209.787189447484,"lin",19.7142857142857,0,"mean","absolute",0,3.49812589609164e-15,5,"18","06","no"
-75.3580715743756,12,4,-3.99363211122869,0.440942902403254,NA,NA,227.536744541689,"lin",19.7142857142857,0,"mean","absolute",0,2.27608510847818e-15,5,"18","06","no"
-73.2551749810491,8,1,-1.91247483643162,0.214269288768821,NA,NA,203.856297250565,"lin",19.7142857142857,0,"mean","absolute",0,7.95335383528192e-16,5,"18","06","no"
-73.0504891743885,1,0,-1.8863291296093,0.211645300328938,NA,NA,211.737762707456,"lin",19.7142857142857,0,"mean","absolute",0,7.17965119968233e-16,5,"18","06","no"
-72.632648420652,6,3,-2.35997118212641,0.265572274342083,NA,NA,213.363906677065,"lin",19.7142857142857,0,"mean","absolute",0,5.82599864279371e-16,5,"18","06","no"
