"deltaAICc","WindowOpen","WindowClose","ModelBeta","Std.Error","ModelBetaQ","ModelBetaC","ModelInt","Function","Furthest","Closest","Statistics","Type","K","ModWeight","sample.size","Reference.day","Reference.month","Randomised"
-64.1021566760514,11,2,-4.1091892856762,0.48453305706598,NA,NA,263.090316147672,"lin",25,0,"mean","absolute",0,0.515324865448721,10,"22","06","no"
-61.3122955884946,11,1,-4.26609469888627,0.514974313160758,NA,NA,268.819510789768,"lin",25,0,"mean","absolute",0,0.127723396996183,10,"22","06","no"
-60.8372582014345,11,3,-3.30757471160159,0.400903939243474,NA,NA,243.94155520013,"lin",25,0,"mean","absolute",0,0.100720390939475,10,"22","06","no"
-60.558159866297,10,2,-3.75026917267927,0.455661216573098,NA,NA,257.183021941123,"lin",25,0,"mean","absolute",0,0.0876015860706849,10,"22","06","no"
-59.5729675176508,10,1,-4.02710209640651,0.493525640865309,NA,NA,265.584952554239,"lin",25,0,"mean","absolute",0,0.053527895502983,10,"22","06","no"
-58.2843646847468,10,3,-3.00580452945952,0.372606325748775,NA,NA,239.067513431485,"lin",25,0,"mean","absolute",0,0.0281037076600461,10,"22","06","no"
-57.5087460730738,11,0,-4.19249323075537,0.523362016858912,NA,NA,269.135295773432,"lin",25,0,"mean","absolute",0,0.0190695382710068,10,"22","06","no"
-56.9212230102389,13,2,-4.45841256674206,0.559548245157066,NA,NA,264.587140768954,"lin",25,0,"mean","absolute",0,0.014215468114426,10,"22","06","no"
-56.7983681593541,12,2,-4.72163878237705,0.593252306415117,NA,NA,273.349839639085,"lin",25,0,"mean","absolute",0,0.0133685274962287,10,"22","06","no"
-56.4061847141156,10,0,-4.01185443943392,0.505895071304976,NA,NA,267.104474864336,"lin",25,0,"mean","absolute",0,0.0109880852593482,10,"22","06","no"
-55.099534274485,13,3,-3.71806585669779,0.474602162775192,NA,NA,247.469824885839,"lin",25,0,"mean","absolute",0,0.00571724077892815,10,"22","06","no"
-54.3109404285592,13,1,-4.54715251479627,0.58479515517295,NA,NA,268.951144603564,"lin",25,0,"mean","absolute",0,0.00385429990970379,10,"22","06","no"
-53.7310801781059,9,2,-3.08065768025017,0.398405797420044,NA,NA,242.962912680895,"lin",25,0,"mean","absolute",0,0.00288423372908987,10,"22","06","no"
-53.6836639534376,9,3,-2.50803679185306,0.324500119559451,NA,NA,228.734478793697,"lin",25,0,"mean","absolute",0,0.00281665820112435,10,"22","06","no"
-53.4288726587392,11,4,-2.85636594495132,0.370480615770984,NA,NA,232.073437815217,"lin",25,0,"mean","absolute",0,0.00247974442350803,10,"22","06","no"
-53.4072125503139,9,1,-3.37848383909288,0.43829318683299,NA,NA,251.672512829426,"lin",25,0,"mean","absolute",0,0.00245303355810422,10,"22","06","no"
-53.226612413544,12,1,-4.75815939257833,0.618363467226058,NA,NA,276.716267402699,"lin",25,0,"mean","absolute",0,0.00224123124371715,10,"22","06","no"
-51.7379419261724,12,3,-3.66184752469135,0.482920356249875,NA,NA,248.975825105993,"lin",25,0,"mean","absolute",0,0.00106469687426625,10,"22","06","no"
-51.6019846357867,13,4,-3.47842189386115,0.459353947880397,NA,NA,240.091448673622,"lin",25,0,"mean","absolute",0,0.000994725447911461,10,"22","06","no"
-51.3768497321184,13,0,-4.44287347374846,0.588043031398953,NA,NA,268.968234719944,"lin",25,0,"mean","absolute",0,0.000888824066519489,10,"22","06","no"
-50.9876059534104,9,0,-3.41957760803096,0.454381906462283,NA,NA,254.281141862448,"lin",25,0,"mean","absolute",0,0.000731631832338,10,"22","06","no"
-50.7431901956875,11,6,-2.84998411866947,0.379635287902641,NA,NA,228.958045264148,"lin",25,0,"mean","absolute",0,0.000647468113813556,10,"22","06","no"
-50.2582174851145,10,4,-2.52738853492155,0.338332807170224,NA,NA,226.519976239534,"lin",25,0,"mean","absolute",0,0.000508051688795128,10,"22","06","no"
-49.6769296010802,9,4,-2.20565440341968,0.29703574883037,NA,NA,220.091923877975,"lin",25,0,"mean","absolute",0,0.000379911849185373,10,"22","06","no"
-49.5773486746207,11,5,-2.8186883665688,0.379984877966271,NA,NA,229.877463305015,"lin",25,0,"mean","absolute",0,0.000361459060691252,10,"22","06","no"
-49.526171591765,10,6,-2.55057991765101,0.344023995921083,NA,NA,224.361963961162,"lin",25,0,"mean","absolute",0,0.000352327184508691,10,"22","06","no"
-48.6920136919139,12,0,-4.50588699545341,0.613081695721378,NA,NA,273.376753853112,"lin",25,0,"mean","absolute",0,0.000232172654518854,10,"22","06","no"
-48.5787014288039,9,5,-2.21769610383186,0.302105871815794,NA,NA,219.142173079202,"lin",25,0,"mean","absolute",0,0.000219384338909957,10,"22","06","no"
