"deltaAICc","WindowOpen","WindowClose","ModelBeta","Std.Error","ModelBetaQ","ModelBetaC","ModelInt","Function","Furthest","Closest","Statistics","Type","K","ModWeight","sample.size","Reference.day","Reference.month","Randomised"
-33.6011863454387,19,17,1.50081206781456,0.248005476941848,NA,NA,169.595781641261,"lin",26,0,"mean","absolute",0,0.828633511154761,10,"05","07","no"
-29.449268655374,19,18,1.07998207073084,0.190218663335387,NA,NA,174.202388719562,"lin",26,0,"mean","absolute",0,0.103940552683231,10,"05","07","no"
-28.0412143358399,19,19,0.866621281761459,0.156269383747498,NA,NA,175.844927876663,"lin",26,0,"mean","absolute",0,0.0514079056538179,10,"05","07","no"
-22.6401688521573,18,17,1.36974280802686,0.273347485865486,NA,NA,171.216982875163,"lin",26,0,"mean","absolute",0,0.00345308911230477,10,"05","07","no"
-21.6944182509042,20,17,1.17004029309877,0.238203490349893,NA,NA,173.881553742087,"lin",26,0,"mean","absolute",0,0.00215199199965625,10,"05","07","no"
-21.190015665331,6,6,-1.29672204977724,0.266906039421855,NA,NA,217.09686101295,"lin",26,0,"mean","absolute",0,0.00167228780474527,10,"05","07","no"
-21.0988361304026,22,17,1.4462455136016,0.298280977034221,NA,NA,172.516733194737,"lin",26,0,"mean","absolute",0,0.0015977603452438,10,"05","07","no"
-20.7929083500794,21,17,1.32296384274909,0.274714878250251,NA,NA,173.137939556429,"lin",26,0,"mean","absolute",0,0.00137113515116019,10,"05","07","no"
-19.4307748771944,24,17,1.51807637813585,0.325278142217272,NA,NA,173.136627950235,"lin",26,0,"mean","absolute",0,0.000693899763298618,10,"05","07","no"
-18.8737780415104,22,18,1.2560717961508,0.272768529352868,NA,NA,174.70105590083,"lin",26,0,"mean","absolute",0,0.000525226237818295,10,"05","07","no"
-18.2584394614169,23,17,1.30914026357,0.288651456516599,NA,NA,174.371199632092,"lin",26,0,"mean","absolute",0,0.000386124481689512,10,"05","07","no"
-17.8748404397729,18,18,0.853384477611327,0.189999292767712,NA,NA,177.01854960496,"lin",26,0,"mean","absolute",0,0.000318735083360524,10,"05","07","no"
-17.5046712786279,8,5,-1.79392130387461,0.403235793631556,NA,NA,228.865101027,"lin",26,0,"mean","absolute",0,0.00026487968857171,10,"05","07","no"
-17.4393499197449,20,18,0.855572730641619,0.192642758547606,NA,NA,177.24981783066,"lin",26,0,"mean","absolute",0,0.000256368288618684,10,"05","07","no"
-17.4065037242754,21,18,1.05829674169296,0.238493348779644,NA,NA,176.001584706235,"lin",26,0,"mean","absolute",0,0.00025219231225355,10,"05","07","no"
-17.2723863627398,24,18,1.34654509308622,0.304522542171949,NA,NA,175.052990072574,"lin",26,0,"mean","absolute",0,0.000235835200836841,10,"05","07","no"
-17.2600173463225,25,17,1.43952579590587,0.325656389049174,NA,NA,174.044395483621,"lin",26,0,"mean","absolute",0,0.000234381176947188,10,"05","07","no"
-16.9104861574442,22,19,1.26760450628659,0.2894428985203,NA,NA,174.990344368504,"lin",26,0,"mean","absolute",0,0.000196799049909906,10,"05","07","no"
-16.8314622477228,19,16,1.48919752843189,0.340764814823257,NA,NA,168.592179959393,"lin",26,0,"mean","absolute",0,0.000189174752080961,10,"05","07","no"
-16.6361739558288,8,6,-1.35484539797165,0.311666668245465,NA,NA,216.635904101432,"lin",26,0,"mean","absolute",0,0.000171576126790002,10,"05","07","no"
-16.260420489727,8,1,-3.73328568310759,0.867723026887138,NA,NA,282.376595887802,"lin",26,0,"mean","absolute",0,0.000142188028072428,10,"05","07","no"
-16.0961690199019,23,18,1.13581556639258,0.265209262366777,NA,NA,176.287769817001,"lin",26,0,"mean","absolute",0,0.000130977373661462,10,"05","07","no"
-15.319915705496,8,8,-0.798069894850789,0.190536531086844,NA,NA,202.251777188255,"lin",26,0,"mean","absolute",0,8.88454133560363e-05,10,"05","07","no"
-15.2853569252793,25,18,1.28406977948434,0.306877956173572,NA,NA,175.742125195203,"lin",26,0,"mean","absolute",0,8.73234063453065e-05,10,"05","07","no"
-15.229295030148,26,17,1.49160670617657,0.357064436371176,NA,NA,173.898801853738,"lin",26,0,"mean","absolute",0,8.49096366924176e-05,10,"05","07","no"
-14.9829249251843,24,19,1.32770197485365,0.320157209977943,NA,NA,175.645341289658,"lin",26,0,"mean","absolute",0,7.50686134097049e-05,10,"05","07","no"
-14.6362013609723,9,5,-1.79941281498479,0.438462889014012,NA,NA,228.028212893531,"lin",26,0,"mean","absolute",0,6.31201945449373e-05,10,"05","07","no"
-14.5286394921914,17,17,1.32289203160368,0.323410104710176,NA,NA,170.852726579371,"lin",26,0,"mean","absolute",0,5.9815200898803e-05,10,"05","07","no"
-14.3119122367925,21,19,0.980157166201677,0.241228417499524,NA,NA,176.968389096469,"lin",26,0,"mean","absolute",0,5.36722547454406e-05,10,"05","07","no"
-14.217063640358,20,16,1.32985202265896,0.328260594140438,NA,NA,171.342940608972,"lin",26,0,"mean","absolute",0,5.1186298989315e-05,10,"05","07","no"
-14.1804288482799,24,16,1.5672968588206,0.38731481146408,NA,NA,171.794035460584,"lin",26,0,"mean","absolute",0,5.02572342791222e-05,10,"05","07","no"
-14.0297733141188,23,19,1.11005495193332,0.275622439768417,NA,NA,176.873428280463,"lin",26,0,"mean","absolute",0,4.6610541838133e-05,10,"05","07","no"
-14.0198072059729,20,19,0.716136024656717,0.177869865434185,NA,NA,178.645644265482,"lin",26,0,"mean","absolute",0,4.63788567169403e-05,10,"05","07","no"
-13.9913264447832,13,6,-2.34677628553484,0.583404587355,NA,NA,234.580386315952,"lin",26,0,"mean","absolute",0,4.57230844509445e-05,10,"05","07","no"
-13.9212637476194,21,16,1.44457095294253,0.359917146636903,NA,NA,170.996461231892,"lin",26,0,"mean","absolute",0,4.41490739612786e-05,10,"05","07","no"
-13.8036665196487,13,5,-2.5090507768015,0.627484674560737,NA,NA,239.864860917256,"lin",26,0,"mean","absolute",0,4.16280133309345e-05,10,"05","07","no"
-13.7191942875943,26,18,1.37540245181416,0.344906775130966,NA,NA,175.275775538763,"lin",26,0,"mean","absolute",0,3.99064203503742e-05,10,"05","07","no"
-13.6954337632978,9,6,-1.4268084657877,0.358071829966262,NA,NA,217.749112145987,"lin",26,0,"mean","absolute",0,3.94351267044561e-05,10,"05","07","no"
-13.654050306036,8,0,-3.72668941132091,0.936500593899608,NA,NA,283.915152508373,"lin",26,0,"mean","absolute",0,3.86275298654958e-05,10,"05","07","no"
-13.615928720048,22,16,1.44390717835169,0.363295573029607,NA,NA,171.578518291333,"lin",26,0,"mean","absolute",0,3.78982311014739e-05,10,"05","07","no"
-13.4614259206282,9,1,-3.3229723780836,0.840297521364651,NA,NA,270.076614212104,"lin",26,0,"mean","absolute",0,3.50807672431041e-05,10,"05","07","no"
-13.0182818389858,9,8,-1.22584887579602,0.314581562459654,NA,NA,211.565328306818,"lin",26,0,"mean","absolute",0,2.81087523025231e-05,10,"05","07","no"
-12.9982487714133,12,6,-2.07411528997734,0.532626127995822,NA,NA,229.965339370469,"lin",26,0,"mean","absolute",0,2.78286054279919e-05,10,"05","07","no"
-12.9691258249004,25,16,1.48978510794882,0.382948339241461,NA,NA,172.811657799681,"lin",26,0,"mean","absolute",0,2.74263160059304e-05,10,"05","07","no"
-12.9470695411228,12,5,-2.26478688544385,0.582596441976608,NA,NA,235.826466875305,"lin",26,0,"mean","absolute",0,2.71255163805999e-05,10,"05","07","no"
-12.6582522525769,6,5,-1.47136617754791,0.382249511701472,NA,NA,223.701073471275,"lin",26,0,"mean","absolute",0,2.34780561599814e-05,10,"05","07","no"
-12.596034096131,25,19,1.21283944913846,0.315764728415949,NA,NA,176.647598442618,"lin",26,0,"mean","absolute",0,2.27589193125364e-05,10,"05","07","no"
-12.5695100084249,23,16,1.3199757068142,0.343974036183426,NA,NA,173.432429011814,"lin",26,0,"mean","absolute",0,2.24590821480235e-05,10,"05","07","no"
-12.4868440018527,7,6,-1.48884964004937,0.389098926696433,NA,NA,221.102741434293,"lin",26,0,"mean","absolute",0,2.15497039603609e-05,10,"05","07","no"
-12.3135804867225,10,6,-1.63370381747276,0.429560465910522,NA,NA,221.330774083547,"lin",26,0,"mean","absolute",0,1.97613956829184e-05,10,"05","07","no"
-12.3130624820442,7,5,-1.98439758293755,0.521780224856193,NA,NA,235.457121008428,"lin",26,0,"mean","absolute",0,1.97562780979738e-05,10,"05","07","no"
-12.175340427606,8,4,-1.97366154182945,0.5214998092426,NA,NA,233.877901760304,"lin",26,0,"mean","absolute",0,1.84416241535992e-05,10,"05","07","no"
-11.8423996628735,10,5,-1.80681457599383,0.483182832040619,NA,NA,226.854865316584,"lin",26,0,"mean","absolute",0,1.56135622197042e-05,10,"05","07","no"
-11.4089662866145,13,1,-3.33516073621314,0.906346431308757,NA,NA,263.947336632084,"lin",26,0,"mean","absolute",0,1.25713852764482e-05,10,"05","07","no"
-11.3513608925286,13,4,-2.71379262177608,0.739091912091234,NA,NA,245.458903802545,"lin",26,0,"mean","absolute",0,1.22144603501117e-05,10,"05","07","no"
-11.2393764450371,24,15,1.41382581562747,0.386691866363628,NA,NA,172.42465992936,"lin",26,0,"mean","absolute",0,1.15493400950678e-05,10,"05","07","no"
-11.2264227718515,4,3,2.41174984008582,0.659957655859634,NA,NA,120.22877269693,"lin",26,0,"mean","absolute",0,1.14747786283857e-05,10,"05","07","no"
-11.1301624452917,9,4,-2.03479292415269,0.55886369541381,NA,NA,234.362938954601,"lin",26,0,"mean","absolute",0,1.09355757069059e-05,10,"05","07","no"
-11.0463888425465,2,1,-3.90779700893409,1.07676569911911,NA,NA,296.581151894677,"lin",26,0,"mean","absolute",0,1.04869801230831e-05,10,"05","07","no"
-11.0378422672147,9,0,-3.21515947599936,0.886207506017489,NA,NA,268.806099048798,"lin",26,0,"mean","absolute",0,1.04422618553315e-05,10,"05","07","no"
-11.0164097410679,25,15,1.41373015400298,0.389996013420503,NA,NA,172.794567403792,"lin",26,0,"mean","absolute",0,1.03309572799311e-05,10,"05","07","no"
-11.0023877812919,24,14,1.37057626145113,0.378297246185679,NA,NA,172.17377016912,"lin",26,0,"mean","absolute",0,1.02587804569914e-05,10,"05","07","no"
-10.8425611648609,25,14,1.37606331848971,0.382190644560626,NA,NA,172.504634542359,"lin",26,0,"mean","absolute",0,9.47086894478206e-06,10,"05","07","no"
-10.8311317612743,26,19,1.29220861659067,0.359062007942043,NA,NA,176.254756926484,"lin",26,0,"mean","absolute",0,9.41690010781923e-06,10,"05","07","no"
-10.7008700614888,12,1,-3.14932474640689,0.879611814240355,NA,NA,261.228311251124,"lin",26,0,"mean","absolute",0,8.82311611757831e-06,10,"05","07","no"
-10.6147726042382,26,16,1.45166463304427,0.40684669473348,NA,NA,173.429817622913,"lin",26,0,"mean","absolute",0,8.45135159213324e-06,10,"05","07","no"
-10.3607072299328,13,0,-3.39405011824993,0.961040104626535,NA,NA,266.925792525384,"lin",26,0,"mean","absolute",0,7.44314662690278e-06,10,"05","07","no"
-10.2826761870538,16,6,-2.17914112674232,0.619007936805192,NA,NA,226.63606066143,"lin",26,0,"mean","absolute",0,7.15834043809366e-06,10,"05","07","no"
-10.2410173281942,12,4,-2.43142400322286,0.69185635537647,NA,NA,240.525920579398,"lin",26,0,"mean","absolute",0,7.01077844232113e-06,10,"05","07","no"
-10.2380802132939,11,6,-1.61395766957023,0.459303707085092,NA,NA,220.381087164873,"lin",26,0,"mean","absolute",0,7.00049026764508e-06,10,"05","07","no"
-10.1854321499468,20,14,1.17732622225632,0.335775630150425,NA,NA,171.80186783786,"lin",26,0,"mean","absolute",0,6.81861350748107e-06,10,"05","07","no"
-10.1272799932158,13,8,-2.08532330797995,0.596174975079251,NA,NA,226.933821736266,"lin",26,0,"mean","absolute",0,6.62320952387874e-06,10,"05","07","no"
-10.0234686404492,8,3,-2.23860819316251,0.642778986117794,NA,NA,241.612545493741,"lin",26,0,"mean","absolute",0,6.28819708968696e-06,10,"05","07","no"
-9.93682536189772,8,7,-1.02436369357397,0.295203762517681,NA,NA,208.244510078318,"lin",26,0,"mean","absolute",0,6.02159852110426e-06,10,"05","07","no"
-9.93310578491855,21,14,1.23046103791065,0.354653163358546,NA,NA,171.886341522397,"lin",26,0,"mean","absolute",0,6.01041002882531e-06,10,"05","07","no"
-9.90298021723993,25,13,1.43201893928761,0.413274265671622,NA,NA,171.102590328426,"lin",26,0,"mean","absolute",0,5.92055495446581e-06,10,"05","07","no"
-9.89350042675687,14,5,-2.59973008512097,0.750572003980477,NA,NA,239.854041339269,"lin",26,0,"mean","absolute",0,5.89255854664537e-06,10,"05","07","no"
-9.89062364844904,10,1,-2.85874132856756,0.825452226690407,NA,NA,256.43783360911,"lin",26,0,"mean","absolute",0,5.88408884716528e-06,10,"05","07","no"
-9.85838390007939,14,6,-2.44943674999225,0.708235907285903,NA,NA,234.863753485961,"lin",26,0,"mean","absolute",0,5.78999847517833e-06,10,"05","07","no"
-9.79991013395374,22,14,1.21880117512365,0.353286588994471,NA,NA,172.523264591131,"lin",26,0,"mean","absolute",0,5.62316765706689e-06,10,"05","07","no"
-9.78984931383093,24,13,1.40919597396573,0.408650919073347,NA,NA,170.894565866289,"lin",26,0,"mean","absolute",0,5.59495184595797e-06,10,"05","07","no"
-9.74876675937776,23,15,1.18747133556354,0.344959919479815,NA,NA,174.024024015585,"lin",26,0,"mean","absolute",0,5.48119672657242e-06,10,"05","07","no"
-9.71074078843685,24,12,1.59570924202179,0.464311204191137,NA,NA,167.759362709545,"lin",26,0,"mean","absolute",0,5.37796727261714e-06,10,"05","07","no"
-9.70248716717651,10,8,-1.44552598465147,0.420761207178492,NA,NA,215.237383719549,"lin",26,0,"mean","absolute",0,5.35581915209033e-06,10,"05","07","no"
-9.66014459587495,22,15,1.22093148861926,0.356036734613719,NA,NA,173.078171196597,"lin",26,0,"mean","absolute",0,5.24362145049347e-06,10,"05","07","no"
-9.65260332384696,23,14,1.16810217899296,0.340742268975099,NA,NA,173.648490875346,"lin",26,0,"mean","absolute",0,5.2238868919088e-06,10,"05","07","no"
-9.63142971343041,21,15,1.21811454227818,0.355657142262739,NA,NA,172.60454426514,"lin",26,0,"mean","absolute",0,5.16887433637714e-06,10,"05","07","no"
-9.57024863472088,25,12,1.57207899206912,0.460227422227292,NA,NA,168.552533033061,"lin",26,0,"mean","absolute",0,5.01314967672848e-06,10,"05","07","no"
-9.53849951281336,12,0,-3.18383101976703,0.933361204623797,NA,NA,263.535421035871,"lin",26,0,"mean","absolute",0,4.93419645847447e-06,10,"05","07","no"
-9.53358936486711,11,5,-1.69474240752602,0.496931606308838,NA,NA,223.580985326413,"lin",26,0,"mean","absolute",0,4.92209749916813e-06,10,"05","07","no"
-9.51571225968746,16,5,-2.15488150215567,0.632347679308056,NA,NA,227.741198567806,"lin",26,0,"mean","absolute",0,4.87829711944719e-06,10,"05","07","no"
-9.44956693814311,20,15,1.11379577335413,0.327792653417701,NA,NA,173.043317806061,"lin",26,0,"mean","absolute",0,4.71959762613031e-06,10,"05","07","no"
-9.40882870593578,24,22,1.28457430239148,0.378733023862253,NA,NA,177.487184153861,"lin",26,0,"mean","absolute",0,4.62443606278266e-06,10,"05","07","no"
-9.29243894876709,12,8,-1.81936897416605,0.539186874267604,NA,NA,222.616234439613,"lin",26,0,"mean","absolute",0,4.36299850974299e-06,10,"05","07","no"
-9.28179438994903,8,2,-2.40388351888151,0.71275187361334,NA,NA,246.836871548313,"lin",26,0,"mean","absolute",0,4.33983909771288e-06,10,"05","07","no"
-9.03167914587175,25,10,1.74172931538206,0.522290467463943,NA,NA,164.753193170713,"lin",26,0,"mean","absolute",0,3.82967388147282e-06,10,"05","07","no"
-8.9772120362486,9,3,-2.19372582040129,0.659472719192703,NA,NA,239.367467486587,"lin",26,0,"mean","absolute",0,3.72678561353998e-06,10,"05","07","no"
-8.96746081029596,19,14,1.06309072991611,0.319726973880846,NA,NA,172.408319514541,"lin",26,0,"mean","absolute",0,3.7086594731725e-06,10,"05","07","no"
